Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-174.37262	96.09947	9.275419	-373.50702	85.652176	-0.006082733	0.16717255	0.7098111	-0.49813715	4000	8.475781e-08	25128.004	-0.012247489	-5845.0	1.3600215	0.012794442	0.1215	79.0	5.664777040481567
1	-153.91803	69.64052	-58.348465	-342.19882	89.295456	-23.270067	0.046577994	-22.233059	-23.30691	8000	-2.0802021e-08	13206.964	-0.012535724	-2202.9463	1.358176	0.009818022	0.10975	79.0	10.389628171920776
2	-117.57543	60.215233	17.890299	-302.83054	85.565216	-34.88885	1.2477672	-0.8602727	-34.981113	12000	-4.9591065e-08	6465.082	-0.010943048	-787.36426	1.342891	0.007973347	0.05825	79.0	15.150849103927612
3	-115.14566	61.728256	33.969254	-357.6696	82.375	-42.156338	3.9456782	30.709959	-42.472847	16000	-2.9802323e-09	6194.861	-0.009080959	-824.5791	1.3344458	0.0077238264	0.12625	79.0	20.079241037368774
4	-132.8933	68.20124	-37.361	-367.93777	86.5	-49.396103	6.282356	33.53501	-49.996677	20000	4.696846e-08	7149.109	-0.012694701	-1198.8555	1.343063	0.012763802	0.08975	79.0	24.85211491584778
5	-113.547035	51.90486	-1.3351297	-274.64517	91.790695	-58.89003	1.06475	5.4951954	-58.934204	24000	2.3007393e-08	3813.852	-0.009719124	-337.13013	1.3394079	0.016998317	0.30425	9.0	28.849895000457764
6	-119.29893	76.72834	-25.74774	-404.44772	86.73913	-64.64328	0.00687989	-64.50904	-64.64731	28000	-3.8504602e-08	6637.2563	-0.012821359	-560.7954	1.3332595	0.013384646	0.14025	79.0	33.79482388496399
7	-94.41817	51.187897	0.15650354	-227.2356	98.15	-71.94026	0.08817244	-69.9726	-71.95132	32000	9.6559525e-09	1819.3357	-0.0083944	-31.494629	1.3240854	0.0141043505	0.28525	12.0	37.901639223098755
8	-98.98967	71.84051	29.509434	-307.761	104.31579	-74.08081	0.18313083	-71.0221	-74.10232	36000	1.5228986e-08	3789.696	-0.011079628	-9.870361	1.3292177	0.015189278	0.17225	32.0	42.23673915863037
9	-82.30746	57.075584	-5.866666	-281.31937	103.23684	-75.09103	1.7030466	-4.176231	-75.18977	40000	3.1471252e-08	2413.4216	-0.009403603	-18.630615	1.2690024	0.01579143	0.12625	33.0	46.67697525024414
10	-75.883026	85.60631	26.023668	-445.8255	113.911766	-74.67189	0.27942768	-70.04452	-74.71828	44000	1.7106533e-08	6165.984	-0.0100466665	-16.981934	1.2504534	0.01358202	0.12275	79.0	52.215086221694946
11	-93.195366	90.45736	39.17481	-360.04355	114.90625	-75.758484	0.49191764	-67.69583	-75.839874	48000	-1.4692545e-08	6624.63	-0.009568995	-29.422363	1.2245437	0.017289136	0.30525	17.0	56.68952131271362
12	-76.96368	101.2808	38.943607	-411.71686	137.13792	-77.4734	0.5210306	-60.99012	-77.53481	52000	1.4901161e-09	10466.408	-0.0071806987	-79.66797	1.1647278	0.008219758	0.10675	79.0	61.8929762840271
13	-66.977486	82.62649	48.602142	-282.82806	143.13043	-80.74125	1.4721191	-41.687214	-80.900795	56000	-3.2961367e-08	5824.115	-0.007510839	-174.50928	1.1534201	0.011715176	0.08675	79.0	69.36561322212219
14	-38.08093	79.92527	61.133858	-283.61728	166.95653	-76.11045	0.10263474	-75.05934	-76.14306	60000	-1.3917685e-08	10602.583	-0.011140176	-18.30371	1.1375488	0.015145988	0.16525	61.0	76.70297408103943
15	-81.75388	126.11543	69.48046	-530.8485	180.72728	-77.00725	0.60340923	-73.05113	-77.15261	64000	-2.771616e-08	12830.128	-0.01209753	-838.29395	1.1205608	0.010807	0.106	79.0	87.62726211547852
16	-60.099075	107.34203	108.08926	-314.51205	359.27274	-60.59551	28.96825	38.193005	-80.661156	68000	-9.536743e-09	8328.041	-0.010970181	-1753.8398	1.1031382	0.015073652	0.1345	79.0	97.39353227615356
17	-69.392555	134.33682	131.23279	-372.90427	209.78947	-56.713345	23.356121	34.3493	-89.81688	72000	-1.5556813e-08	14346.975	-0.013437104	-974.0293	1.0783703	0.011769983	0.13925	79.0	105.19361710548401
18	-18.62988	114.5804	112.431625	-361.53708	266.53333	-60.48078	28.386148	-23.837755	-96.87722	76000	1.4305114e-08	8207.961	-0.014338032	-2506.2744	1.0594455	0.01116345	0.15925	79.0	114.64924907684326
19	-35.729202	113.49646	156.80269	-275.44766	302.08334	-15.248785	11.893313	93.12082	-98.96954	80000	8.8214875e-09	4536.159	-0.014173615	-471.47314	1.0820273	0.008454496	0.112	79.0	123.69442510604858
20	-38.06268	63.383293	60.7887	-182.29697	208.16667	-20.140308	10.110134	-8.1253395	-96.75945	84000	4.768372e-10	4466.102	-0.009675677	-297.07812	1.0466211	0.0085650105	0.109	79.0	135.05555987358093
21	-11.8817	100.61066	224.19135	-193.72359	255.58333	-31.668957	21.113508	54.7802	-98.04427	88000	2.1457673e-08	4923.4043	-0.012142515	-995.3567	1.052458	0.01370865	0.10525	79.0	143.8368101119995
22	43.308407	89.44765	212.24464	-89.294266	383.1	-11.968167	20.405872	81.70439	-100.36488	92000	-9.536744e-10	2978.97	-0.0071108188	-605.10645	1.0600384	0.0083664255	0.06075	79.0	152.34564924240112
