Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	48.2912	80.00426	189.47935	-49.191315	498.25	9.004629	33.522163	80.563324	-75.56935	96000	-2.9563903e-08	3846.6724	-0.010069736	-1527.0793	0.97435397	0.004835886	0.038	79.0	159.70859217643738
24	-0.11330526	40.755966	142.03831	-46.66951	225.35294	-2.8400943	8.505127	8.570172	-77.59849	100000	-3.218651e-09	2155.745	-0.008169912	-514.3882	1.0114018	0.006693655	0.0515	79.0	166.21904802322388
25	31.037167	70.53139	237.59091	-67.84113	285.30768	-18.370407	11.60024	2.2063212	-85.73856	104000	-1.9431114e-08	3845.0742	-0.008158236	-900.2727	1.008614	0.010796255	0.0785	79.0	173.65180897712708
26	10.815529	142.52322	283.2702	-162.57454	364.5	-17.188507	26.842321	22.909254	-85.796616	108000	-1.5974045e-08	7608.911	-0.0101300115	-2057.688	0.9461237	0.011488451	0.13	79.0	185.4547791481018
27	-61.40278	77.155174	80.32411	-163.57004	334.33334	-33.562645	30.069208	72.91847	-83.2196	112000	-3.0994416e-09	6331.411	-0.0113115	-2731.8787	0.97229856	0.0078009292	0.10175	79.0	194.76242113113403
28	13.657492	105.50653	268.86258	-115.59068	377.2	-29.632101	15.209988	17.390617	-86.87545	116000	2.5093556e-08	5554.865	-0.010684195	-1937.2922	0.9742984	0.008837052	0.10675	79.0	203.65065813064575
29	120.658394	120.78021	290.22516	-60.411663	542.8571	10.305887	36.733658	93.86566	-60.281734	120000	2.3305416e-08	7269.9575	-0.0093697095	-4097.9126	0.89908177	0.0053744563	0.067	79.0	213.42265820503235
30	108.85218	123.58112	263.39478	-48.40889	516.5714	37.80659	34.179646	109.22329	-68.80958	124000	-5.364418e-10	7064.951	-0.012905233	-3070.2314	0.90430963	0.00963105	0.114	79.0	222.8898811340332
31	54.16233	130.05598	263.4019	-116.58935	376.3	24.706848	28.90744	74.14355	-43.92176	128000	9.179115e-09	10594.411	-0.010783568	-5627.6724	0.9047052	0.012425428	0.12	79.0	230.63821601867676
32	129.76274	138.54643	249.65921	-168.83595	396.6	42.99629	30.442648	72.95938	-30.75502	132000	-1.013279e-08	14798.152	-0.00984215	-5811.378	0.903	0.008219803	0.10025	79.0	239.44213724136353
33	192.63771	104.43577	269.62814	-40.874504	535.8571	58.427383	21.995625	75.745964	-7.1227207	136000	2.0921231e-08	6467.791	-0.008004375	-1635.3901	0.8032938	0.0033615013	0.06225	79.0	247.59429717063904
34	160.23369	98.99573	280.8707	-56.880363	529.5714	76.34386	6.1280723	85.04631	36.447193	140000	1.07288365e-08	3920.9446	-0.009289201	-223.06714	0.86025083	0.008400577	0.12525	79.0	256.3435561656952
35	168.02263	118.80992	280.4808	-106.02264	555.7143	82.186874	19.655592	89.90181	-30.840672	144000	9.536743e-09	9434.796	-0.007960764	-3010.7358	0.8336057	0.009568884	0.1195	79.0	264.8909959793091
36	162.34076	100.09888	256.47134	-12.173318	468.375	77.054955	25.450155	89.43828	0.66363966	148000	-2.384186e-10	5663.316	-0.010032675	-304.24023	0.9008911	0.004554411	0.08875	79.0	274.3938989639282
37	203.69371	41.13053	248.27048	137.62845	568.8571	82.62014	21.309462	90.9708	-27.432577	152000	8.106232e-09	1840.5071	-0.010671199	-522.71326	0.86146486	0.010840742	0.1005	79.0	283.33672189712524
38	203.76587	33.90723	257.40985	143.65585	538.2857	92.947334	21.76294	102.21492	4.200554	156000	2.5629998e-09	1384.8285	-0.0072794585	-573.6898	0.8703246	0.0062836153	0.0755	79.0	292.7777359485626
39	226.75757	21.197472	259.08182	201.01866	519.8571	109.66024	0.00059588527	109.66027	109.628944	160000	-3.4809112e-08	669.8925	-0.008496079	-209.20819	0.9071014	0.0067332126	0.0795	79.0	306.6509029865265
40	220.14465	21.393717	246.2388	188.40341	530.4286	118.166534	1.562257e-05	118.166565	118.16637	164000	-1.013279e-09	370.30215	-0.014178413	-36.210938	0.9262911	0.019450402	0.0625	62.0	317.0382001399994
41	148.1211	52.55143	208.22379	85.068886	921.25	121.96008	2.4447418e-05	121.96012	121.95965	168000	1.7523766e-08	6397.738	-0.0051304908	-2937.4946	0.804729	0.0052979533	0.1245	79.0	327.18188309669495
42	222.1862	47.90003	259.7546	140.30573	829.25	93.01497	0.00031301923	93.01496	92.99644	172000	-6.6161157e-09	2217.0151	-0.0042020855	-122.95386	0.7845012	0.0046630614	0.0375	79.0	337.0273401737213
43	142.64346	75.46364	212.86885	0.17367499	753.2	86.126816	0.00048435968	86.126884	86.11441	176000	-1.0848045e-08	3292.403	-0.004548463	-406.16235	0.83853245	0.0038228242	0.04975	79.0	347.8054041862488
44	186.19638	40.267544	232.49426	124.72248	708.8	75.361206	0.33036545	75.3734	65.30809	180000	1.3530254e-08	2174.0835	-0.0073650153	-0.0703125	0.8894956	0.0069361986	0.08	79.0	357.1487522125244
45	181.15465	86.9831	274.32507	-2.6093764	507.83334	75.36439	0.0025748753	75.364456	75.229996	184000	-1.45435335e-08	4005.6936	-0.009358456	-153.38477	0.8803336	0.0056854263	0.0495	79.0	365.7083730697632
46	214.12404	10.650938	232.11049	200.70267	612.5	82.11834	0.0	82.11834	82.11834	188000	-2.7418137e-09	1262.6553	-0.007419073	-666.73975	0.84547365	0.003273467	0.05825	79.0	374.9374589920044
47	214.78645	10.735759	230.76201	193.58296	569.1429	96.31699	0.16764481	96.32955	92.08709	192000	-1.6212464e-08	784.9407	-0.0069095977	-348.70786	0.88332665	0.008097073	0.0715	79.0	383.97818326950073
48	222.2576	20.05482	252.02194	197.02644	548.4286	106.942406	0.004127296	106.94261	106.79724	196000	2.2172928e-08	647.1385	-0.00549633	-59.702026	0.82667094	0.017368713	0.081	26.0	391.71233010292053
49	184.84425	47.173294	230.02449	99.341965	780.8	111.50942	0.62029624	111.537865	95.10239	200000	-2.2649764e-09	5275.675	-0.0037863215	-1625.3728	0.7278183	0.017875107	0.0705	15.0	401.6001811027527
